medicine	-0.29
cultural	-0.095
spirit	0.13
prized	0.16
competitive	0.2
letting	-0.18
cosmetic	-0.76
shiny	0.675
fancy	0.44000000000000006
paused	-0.01
picturesque	0.62
baghdad	-0.67
humble	0.22
rapid	-0.44999999999999996
monitor	-0.17
mixture	0.77
forward	0.22
bottle	-0.71
clearer	0.14
condition	-0.63
privileged	0.1
slender	1.72
graceful	1.99
remembered	0.08
stores	0.2
palace	0.36
institution	0.18
conversations	0.83
combat	-0.47
talks	0.18
sets	0.23
lisa	0.69
victorian	0.84
reached	0.11
emergency	-0.57
midnight	0.08
performing	0.4
attack	-1.44
unrelated	-1.7
annoyed	-1.07
shelf	-0.11
thriving	-0.37
aim	0.09
reads	0.14
circular	0.14
shouting	-0.79
whites	-0.93
intended	-0.09
importance	0.29
lady	2.24
light	-0.01
escape	-0.3
sunlight	0.29
liable	-0.4
vegetarian	1.01
frigid	0.31
fascinating	1.22
feeling	-1.31
cries	-0.51
affluent	-1.41
sinister	-1.79
tony	0.46
sharing	1.5
urge	0.13
diabetes	-0.75
personal	0.28500000000000003
nervous	-1.405
awesome	0.92
survived	-1.46
person	-0.14
dumb	-1.375
drastic	-1.1
material	0.64
washing	-0.56
wild	-0.47
michael	0.43
uncanny	-0.13
house	-0.03
layer	0.28
recording	0.65
system	-0.03
rainy	0.0
fees	0.2
certain	-0.28
darker	0.35
different	-0.8500000000000001
conversation	0.96
teams	0.36
eat	-0.52
press	0.11
lightweight	1.03
spoken	-0.25
canyon	0.27
air	-1.09
unique	0.555
convince	-0.7
delight	0.84
capitalist	-0.27
rural	-2.125
literature	0.24
embryonic	-0.09
plus	0.06
income	0.42
seems	-0.2
darkest	-0.38
gravity	-0.38
socialist	-0.18
renewable	0.34
advance	0.02
manned	-0.1
bake	0.39
economy	-0.29
tired	-2.21
signals	-0.03
development	-0.56
heather	0.43
acknowledged	-0.57
phony	-0.98
vulnerable	-0.99
lane	0.03
failure	-1.18
sounded	-1.01
happily	2.32
utter	-1.5
touching	0.76
humans	-1.42
nelson	-0.13
flies	-1.32
lesser	0.94
society	0.03
enormous	0.40499999999999997
beings	-2.29
current	-0.055
appearance	-0.09
assembly	0.27
fourteen	0.03
poverty	-2.89
center	0.05
received	0.2
patient	-0.41
reserve	0.02
uncommon	-1.16
rescue	-0.89
goods	0.21
eleven	0.03
benign	0.95
misty	0.51
wondered	-0.43
noble	0.67
collins	-0.22
ordinary	-0.595
vibrant	0.78
speaking	0.1
tight	0.66
systems	0.0
fresh	-0.14
hind	-0.11
levels	0.03
humane	0.56
order	-0.02
notice	-0.29
asking	0.22
implicit	-0.15
belt	0.33
identified	-0.31
pistol	-0.37
meal	0.24
course	0.35
section	-0.14
leans	0.06
secrets	0.2
ground	-0.0
connection	1.01
smartest	-0.08
marines	-0.33
list	0.33
transformed	-1.05
edgy	-1.07
ugly	-3.5
decorative	0.89
longer	-0.14
dental	-0.49
strong	1.73
fired	-0.68
flow	0.02
formidable	0.08
telescope	-0.04
stem	0.23
spite	-0.61
considering	-1.73
treatment	-0.48
throwing	0.23
elegant	2.38
parker	0.58
bible	-0.02
merely	-2.09
jealous	-1.59
insects	-1.44
passive	0.12
investigators	-0.38
rookie	0.12
infinite	-0.42
prep	0.07
existence	-0.82
always	0.46
gets	-0.22
lillian	-1.85
somber	0.08
dull	-0.475
affectionate	2.0
reagan	0.23
rooms	-0.47
laid	0.03
freezing	-0.03
overnight	0.03
repetitive	-0.73
cooperative	0.72
height	0.93
nations	0.25
karl	-0.4
abandoned	-0.09
described	-0.35
programs	-0.14
citizens	-0.54
imaginary	-0.08
steep	0.175
paid	0.25
markets	0.39
bands	1.08
madison	-0.22
boards	0.11
pat	0.16
become	-0.43
kumar	-0.11
think	0.36
outright	-0.98
previously	-0.17
del	0.58
corresponding	-0.31
western	-0.07
hunting	-0.78
harcourt	0.75
committed	-1.78
bone	-0.8
indicated	0.09
whose	0.69
hidden	0.31
phenomenal	0.34
scope	-0.13
restaurants	-0.09
matter	-0.22
actors	0.04
wagon	-0.04
watch	0.01
laugh	-0.77
crops	0.12
exciting	0.40499999999999997
fur	-0.73
defined	0.68
blessed	0.18
finding	0.42
rule	-0.13
unfortunately	1.15
estate	0.15
hot	-0.010000000000000009
volume	0.1
already	-0.32
colors	0.44
bitch	-1.21
wheels	-0.05
facilities	-0.71
trips	0.52
bite	-0.97
critical	0.395
glasses	-0.11
walker	0.35
use	0.1
theme	1.03
gifted	0.09
serene	2.81
produce	-0.01
thank	1.31
animals	-1.43
versatile	1.84
reflected	-0.01
triple	-0.61
timid	0.1
mind	-0.15
enthusiastic	1.26
los	0.38
kingdom	-0.21
red	0.625
attacked	-0.91
during	-0.59
salad	0.06
sources	-0.0
sensitive	0.46499999999999997
