goodly	positive
revile	negative
irritation	negative
stupendously	positive
lividly	negative
diligence	positive
aver	positive
restless	negative
alluring	positive
brainy	positive
over-awe	negative
bruising	negative
hapless	negative
apprehensive	negative
scolding	negative
manipulative	negative
unlimited	positive
oddest	negative
desolate	negative
offend	negative
scarcely	negative
agonizing	negative
appreciatively	positive
insensible	negative
foulness	negative
prison	negative
fundamentalism	negative
itching	negative
exagerates	negative
feature-rich	positive
feasibly	positive
uncompetitive	negative
survivor	positive
slime	negative
well-managed	positive
defamation	negative
greedy	negative
pollute	negative
bullshit	negative
peppy	positive
murderer	negative
barbarously	negative
abomination	negative
tangles	negative
portable	positive
languish	negative
grievously	negative
superficially	negative
scowl	negative
neatest	positive
mysteriously	negative
headway	positive
selfishly	negative
inefficient	negative
womanizing	negative
noisy	negative
debauchery	negative
vexing	negative
antithetical	negative
traduce	negative
incompetence	negative
risky	negative
impartially	positive
downturn	negative
glower	negative
dependable	positive
stupid	negative
likable	positive
impertinent	negative
heartwarming	positive
siege	negative
meanness	negative
powerfully	positive
smiling	positive
remorselessly	negative
crashes	negative
astounding	positive
hardier	positive
unwise	negative
irrepressible	negative
sluts	negative
throb	negative
successes	positive
irritating	negative
vain	negative
backbiting	negative
priceless	positive
rejuvenate	positive
hardliner	negative
criticism	negative
radical	negative
propitiously	positive
aggressor	negative
forebodingly	negative
award	positive
popular	positive
full-blown	negative
renowned	positive
jerk	negative
effrontery	negative
dizzing	negative
distracting	negative
taunt	negative
woo	positive
scrambling	negative
complaint	negative
jarring	negative
madly	negative
debt	negative
stiflingly	negative
sporadic	negative
brusque	negative
squeak	negative
annoys	negative
complaints	negative
brashness	negative
menacing	negative
diatribes	negative
jobless	negative
zenith	positive
bland	negative
inequitably	negative
thumbs-up	positive
gumption	positive
inconvenience	negative
cruelness	negative
fanatically	negative
dismal	negative
insulted	negative
commodious	positive
instantly	positive
incessant	negative
retarded	negative
unattractive	negative
brutalities	negative
self-defeating	negative
funnily	negative
fat-cat	negative
devilishly	negative
deadbeat	negative
predatory	negative
streamlined	positive
upscale	positive
restored	positive
limit	negative
thankless	negative
promise	positive
cannibal	negative
ill-usage	negative
irragularity	negative
invalidate	negative
misrepresent	negative
mispronounces	negative
harried	negative
corruption	negative
nonsense	negative
insufficiently	negative
unfounded	negative
extort	negative
first-class	positive
eminence	positive
courageously	positive
frantically	negative
listless	negative
broken	negative
inequities	negative
cruelly	negative
brazen	negative
evaluative	positive
kindness	positive
denigrate	negative
wretch	negative
shiny	positive
delirious	negative
murder	negative
buoyant	positive
asinininity	negative
misguide	negative
master	positive
glib	negative
malevolent	negative
nicely	positive
cute	positive
intrusion	negative
menacingly	negative
heck	negative
slooow	negative
levity	positive
unsure	negative
low-priced	positive
astonishment	positive
ironic	negative
haunt	negative
slack	negative
lone	negative
elegantly	positive
loot	negative
betrayal	negative
uneven	negative
uphold	positive
draconic	negative
dazed	negative
exhilarate	positive
critical	negative
lament	negative
upsetting	negative
pretentiously	negative
enliven	positive
impede	negative
suffice	positive
heavyhearted	negative
indiscreet	negative
pleased	positive
nourish	positive
thankful	positive
unrest	negative
individualized	positive
unreasonable	negative
greatest	positive
despicably	negative
slower	negative
criminal	negative
hated	negative
nurturing	positive
disappointed	negative
spellbindingly	positive
merciful	positive
enjoys	positive
glow	positive
punk	negative
liberty	positive
treason	negative
kill	negative
loathing	negative
stigma	negative
spewed	negative
imaginative	positive
spoils	negative
spoon-fed	negative
hypocrites	negative
sufficiently	positive
trophy	positive
intimacy	positive
rut	negative
hysterical	negative
inteferes	negative
smelly	negative
bleakly	negative
knotted	negative
lethargy	negative
neglect	negative
succeed	positive
irony	negative
imbalance	negative
finer	positive
deceiving	negative
tarnishes	negative
cornerstone	positive
maltreatment	negative
ramshackle	negative
luxuriously	positive
smutty	negative
devastating	negative
exuberance	positive
blah	negative
staunchly	positive
retractable	positive
bug	negative
impudence	negative
absentee	negative
high-spirited	positive
unusual	negative
fervent	positive
dud	negative
dilly-dally	negative
cleverly	positive
craftly	negative
complement	positive
anti-israeli	negative
adequate	positive
traumatize	negative
appealing	positive
aweful	negative
concen	negative
pepping	positive
insignificant	negative
salute	positive
interruptions	negative
sloppily	negative
inculcate	negative
gimmicky	negative
valiant	positive
elan	positive
bearish	negative
beseech	negative
dazzle	positive
booming	positive
irresponsible	negative
encroach	negative
adamant	negative
well-regarded	positive
inactive	negative
louder	negative
strident	negative
endorses	positive
gimmicked	negative
inept	negative
distraught	negative
prate	negative
overstates	negative
infested	negative
opportunistic	negative
steals	negative
excitingly	positive
disruption	negative
blab	negative
unspeakablely	negative
affluence	positive
boring	negative
denying	negative
hate	negative
uninformed	negative
despot	negative
polite	positive
auspicious	positive
chafe	negative
spoil	negative
incompetently	negative
rattled	negative
bother	negative
dump	negative
anxiousness	negative
disappointments	negative
fatigued	negative
unfunded	negative
outshone	positive
frighteningly	negative
fruitless	negative
discompose	negative
instructive	positive
struggling	negative
superb	positive
striving	positive
relaxed	positive
wowing	positive
direly	negative
burned	negative
impetuous	negative
shrivel	negative
downbeat	negative
toughest	positive
firmer	positive
reviled	negative
obstruct	negative
defile	negative
malaise	negative
spite	negative
displeased	negative
overkill	negative
